Accession ID,Virus name,City,Province,Country,Collection date
EPI_ISL_408975,BetaCoV/Hong Kong/VM20001061/2020,Hong Kong,Hong Kong,China,2020/1/22
EPI_ISL_408976,BetaCoV/Sydney/2/2020,Sydney,New South Wales,Australia,2020/1/22
EPI_ISL_408977,BetaCoV/Sydney/3/2020,Sydney,New South Wales,Australia,2020/1/25
EPI_ISL_408978,BetaCoV/Wuhan/WH05/2020,Wuhan,Hubei,China,2020/2/7
EPI_ISL_408994,BetaCoV/Hong Kong/VB20017970/2020,Hong Kong,Hong Kong,China,2020/1/21
EPI_ISL_408995,BetaCoV/Hong Kong/VM20001218/2020,Hong Kong,Hong Kong,China,2020/1/24
EPI_ISL_408996,BetaCoV/Hong Kong/VB20019871/2020,Hong Kong,Hong Kong,China,2020/1/24
EPI_ISL_408997,BetaCoV/Hong Kong/VB20019923/2020,Hong Kong,Hong Kong,China,2020/1/24
EPI_ISL_408998,BetaCoV/Hong Kong/VM20001387/2020,Hong Kong,Hong Kong,China,2020/1/25
EPI_ISL_408999,BetaCoV/Hong Kong/VM20001464/2020,Hong Kong,Hong Kong,China,2020/1/25
EPI_ISL_409000,BetaCoV/Hong Kong/VM20001403/2020,Hong Kong,Hong Kong,China,2020/1/26
EPI_ISL_409001,BetaCoV/Hong Kong/VM20001794/2020,Hong Kong,Hong Kong,China,2020/1/29
EPI_ISL_409002,BetaCoV/Hong Kong/VM20001776/2020,Hong Kong,Hong Kong,China,2020/1/29
EPI_ISL_409020,BetaCoV/Hong Kong/VM20001988/2020,Hong Kong,Hong Kong,China,2020/1/30
EPI_ISL_409022,BetaCoV/Hong Kong/VB20024950/2020,Hong Kong,Hong Kong,China,2020/1/29
EPI_ISL_409023,BetaCoV/Hong Kong/VM20002162/2020,Hong Kong,Hong Kong,China,2020/1/31
EPI_ISL_409024,BetaCoV/Hong Kong/VB20026565/2020,Hong Kong,Hong Kong,China,2020/1/31
EPI_ISL_409025,BetaCoV/Hong Kong/VM20002302/2020,Hong Kong,Hong Kong,China,2020/2/1
EPI_ISL_409026,BetaCoV/Hong Kong/VM20002343/2020,Hong Kong,Hong Kong,China,2020/2/3
EPI_ISL_409027,BetaCoV/Hong Kong/VM20002345/2020,Hong Kong,Hong Kong,China,2020/2/3
EPI_ISL_409067,BetaCoV/USA-MA1/2020,,Massachusetts,USA,2020/1/29
EPI_ISL_410044,BetaCoV/USA/CA6/2020,,California,USA,2020/1/27
EPI_ISL_410045,BetaCoV/USA/IL2/2020,,Illinois,USA,2020/1/28
EPI_ISL_410218,BetaCov/Taiwan/NTU02/2020,Taipei,Taiwan,China,2020/2/5
EPI_ISL_410301,BetaCoV/Nepal/61/2020,,Kathmandu,Nepal,2020/1/13
EPI_ISL_410302,BetaCoV/Philippines/026/2020,,,Philippines,2020/1/26
EPI_ISL_410314,BetaCoV/Philippines/026N/2020,,,Philippines,2020/2/6
EPI_ISL_410344,BetaCoV/Philippines/025N/2020,,,Philippines,2020/1/26
EPI_ISL_410345,BetaCoV/Philippines/022N/2020,,,Philippines,2020/1/23
EPI_ISL_410486,BetaCoV/France/RA739/2020,,,France,2020/2/8
EPI_ISL_410487,BetaCoV/Malaysia/CL5045/2020,,,Malaysia,2020/1/24
EPI_ISL_410488,BetaCoV/Malaysia/CL5047/2020,,,Malaysia,2020/1/24
EPI_ISL_410489,BetaCoV/Malaysia/CL5049/2020,,,Malaysia,2020/1/24
EPI_ISL_410531,SARS-CoV-2/Japan/NA-20-05-1/2020,,Nara,Japan,2020/1/25
EPI_ISL_410532,SARS-CoV-2/Japan/OS-20-07-1/2020,,Osaka,Japan,2020/1/23
EPI_ISL_410535,SARS-CoV-2/Singapore/4/2020,,,Singapore,2020/2/3
EPI_ISL_410536,SARS-CoV-2/Singapore/5/2020,,,Singapore,2020/2/6
EPI_ISL_410537,SARS-CoV-2/Singapore/6/2020,,,Singapore,2020/2/9
EPI_ISL_410538,BetaCoV/pangolin/Guangxi/P4L/2017,,Guangxi,China,2017
EPI_ISL_410539,BetaCoV/pangolin/Guangxi/P1E/2017,,Guangxi,China,2017
