Accession ID,Host,Location,Area,Country,Collection date
MT042774,Human,Wuhan,Hubei,China,2020-01-20
MT042775,Human,Wuhan,Hubei,China,2020-01-20
MT042776,Human,Wuhan,Hubei,China,2020-01-20
MT042777,Human,Wuhan,Hubei,China,2020-01-20
MT042778,Human,Wuhan,Hubei,China,2020-01-20
MT049951,Human,Yunnan,Yunnan,China,2020-01-17
MT050416,Human,Australia,Australia,Australia,2020-02-20
MT050417,Human,Australia,Australia,Australia,2020-02-20
NMDC60013002-05,Human,Wuhan,Hubei,China,2019-12-30
NMDC60013002-06,Human,Wuhan,Hubei,China,2019-12-30
NMDC60013002-07,Human,Wuhan,Hubei,China,2020-01-07
NMDC60013002-08,Human,Wuhan,Hubei,China,2019-12-30
NMDC60013002-09,Human,Wuhan,Hubei,China,2020-01-01
NMDC60013002-10,Human,Wuhan,Hubei,China,2019-12-30
